idx,T_mean,T_ripple,feasible,best_so_far,t_ansys_s,status
0,2.014854,52.294467,1,2.014854,23.1,ok
1,3.260764,39.309288,1,3.260764,20.6,ok
2,3.531981,29.827790,1,3.531981,21.8,ok
3,3.716739,11.979419,1,3.716739,22.3,ok
4,3.555648,34.824827,1,3.716739,22.8,ok
5,3.880062,34.877225,1,3.880062,20.8,ok
6,3.656924,34.249240,1,3.880062,19.5,ok
7,3.964425,32.475581,1,3.964425,19.3,ok
8,4.018451,30.529555,1,4.018451,20.5,ok
9,4.007668,17.281349,1,4.018451,21.6,ok
10,3.715075,19.239707,1,4.018451,20.7,ok
11,4.252264,20.141436,1,4.252264,21.7,ok
12,3.944442,10.297475,1,4.252264,20.6,ok
13,3.941246,15.825046,1,4.252264,21.1,ok
14,3.840993,28.145606,1,4.252264,21.7,ok
15,3.845399,29.066633,1,4.252264,20.9,ok
16,3.953120,33.243099,1,4.252264,20.1,ok
17,4.169646,14.524208,1,4.252264,19.6,ok
18,3.986845,22.414732,1,4.252264,20.8,ok
19,4.162338,13.090496,1,4.252264,21.8,ok
20,4.157422,29.850421,1,4.252264,20.8,ok
21,3.967564,19.729239,1,4.252264,19.7,ok
22,4.153944,14.806095,1,4.252264,20.8,ok
23,4.123758,28.146572,1,4.252264,21.7,ok
24,4.032710,9.804672,1,4.252264,20.6,ok
25,4.267768,11.611332,1,4.267768,21.9,ok
26,4.259093,16.072668,1,4.267768,20.8,ok
27,4.045484,10.853248,1,4.267768,21.5,ok
28,4.112742,13.702883,1,4.267768,20.8,ok
29,4.297052,13.539440,1,4.297052,21.6,ok
30,4.242081,12.230223,1,4.297052,18.8,ok
31,4.219006,14.520812,1,4.297052,21.9,ok
32,4.169089,11.275485,1,4.297052,20.8,ok
33,4.276943,17.412795,1,4.297052,21.7,ok
34,4.185196,20.056212,1,4.297052,20.7,ok
35,4.128521,10.666655,1,4.297052,21.7,ok
36,4.216277,8.363328,1,4.297052,21.7,ok
37,4.151774,9.682786,1,4.297052,20.8,ok
38,4.141134,14.385181,1,4.297052,21.6,ok
39,4.212637,20.570254,1,4.297052,21.1,ok
40,4.169471,26.242674,1,4.297052,19.5,ok
41,4.215456,23.738565,1,4.297052,20.4,ok
42,4.136792,25.781604,1,4.297052,18.8,ok
43,4.228010,20.814087,1,4.297052,18.6,ok
44,3.393138,25.600410,1,4.297052,17.3,ok
45,3.967808,17.590481,1,4.297052,18.7,ok
46,3.753865,14.388228,1,4.297052,20.8,ok
47,4.193818,17.860876,1,4.297052,19.0,ok
48,4.240781,28.269237,1,4.297052,19.2,ok
49,4.336128,11.472121,1,4.336128,18.8,ok
50,4.089951,33.198169,1,4.336128,18.8,ok
51,4.233277,17.001037,1,4.336128,18.9,ok
52,4.146152,15.545827,1,4.336128,19.5,ok
53,4.329580,24.285371,1,4.336128,19.6,ok
54,4.220312,14.775101,1,4.336128,19.5,ok
55,4.307081,32.699858,1,4.336128,19.6,ok
56,4.279271,18.094682,1,4.336128,19.5,ok
57,4.274146,12.258236,1,4.336128,19.7,ok
58,4.319773,19.116797,1,4.336128,19.6,ok
59,4.219530,12.819582,1,4.336128,19.5,ok
60,4.209672,24.756810,1,4.336128,19.9,ok
61,4.303761,15.915979,1,4.336128,19.4,ok
62,4.330079,21.674268,1,4.336128,19.8,ok
63,4.347826,24.452361,1,4.347826,19.7,ok
64,4.293124,22.980249,1,4.347826,18.8,ok
65,4.356794,21.585728,1,4.356794,18.9,ok
66,4.345020,17.652255,1,4.356794,19.6,ok
67,4.035334,14.221833,1,4.356794,19.1,ok
68,4.279481,20.880672,1,4.356794,19.8,ok
69,3.552997,12.301528,1,4.356794,22.0,ok
70,4.346585,27.208717,1,4.356794,19.4,ok
71,4.261825,16.454581,1,4.356794,20.0,ok
72,4.317284,21.073266,1,4.356794,19.5,ok
73,4.195661,13.745805,1,4.356794,19.6,ok
74,4.336430,18.506092,1,4.356794,19.5,ok
75,4.279089,18.496712,1,4.356794,19.7,ok
76,4.287478,29.793373,1,4.356794,19.9,ok
77,4.340712,27.409920,1,4.356794,18.8,ok
78,4.153834,28.482077,1,4.356794,19.7,ok
79,4.262507,21.082333,1,4.356794,19.7,ok
80,4.179692,20.661326,1,4.356794,18.9,ok
81,4.080370,13.418772,1,4.356794,18.9,ok
82,4.312471,11.752097,1,4.356794,19.9,ok
83,4.269328,22.586188,1,4.356794,21.4,ok
84,4.282827,17.801828,1,4.356794,18.8,ok
85,4.304816,28.617232,1,4.356794,20.1,ok
86,4.331944,11.612651,1,4.356794,19.7,ok
87,4.201821,17.649875,1,4.356794,19.5,ok
