idx,phase,T_mean,T_ripple,f1,f2,feasible,hypervolume,t_ansys_s,status
0,warmstart,3.408030,23.941662,3.408030,-0.239417,1,0.555557,21.3,ok
1,warmstart,4.118524,14.645727,4.118524,-0.146457,1,1.028490,18.8,ok
2,warmstart,3.630260,21.300960,3.630260,-0.213010,1,1.028490,21.6,ok
3,warmstart,4.271746,14.801885,4.271746,-0.148019,1,1.101146,18.7,ok
4,warmstart,3.636367,25.686947,3.636367,-0.256869,1,1.101146,20.7,ok
5,warmstart,3.763533,33.819163,3.763533,-0.338192,1,1.101146,20.8,ok
6,warmstart,3.836099,32.052058,3.836099,-0.320521,1,1.101146,21.6,ok
7,warmstart,4.212753,34.986182,4.212753,-0.349862,1,1.101146,20.7,ok
8,warmstart,4.149639,15.178148,4.149639,-0.151781,1,1.101146,21.8,ok
9,warmstart,4.136915,19.776726,4.136915,-0.197767,1,1.101146,18.8,ok
10,warmstart,3.966960,9.300007,3.966960,-0.093000,1,1.208609,19.0,ok
11,warmstart,3.836056,26.310237,3.836056,-0.263102,1,1.208609,21.6,ok
12,warmstart,3.764616,32.049793,3.764616,-0.320498,1,1.208609,20.7,ok
13,warmstart,3.836056,26.310237,3.836056,-0.263102,1,1.208609,20.7,ok
14,warmstart,3.404377,36.165235,3.404377,-0.361652,1,1.208609,21.6,ok
15,warmstart,3.589322,10.424722,3.589322,-0.104247,1,1.208609,22.0,ok
16,warmstart,4.062446,14.347804,4.062446,-0.143478,1,1.208893,22.1,ok
17,warmstart,4.232880,12.346513,4.232880,-0.123465,1,1.214901,19.2,ok
18,warmstart,4.232383,15.669750,4.232383,-0.156697,1,1.214901,21.7,ok
19,warmstart,4.175796,12.268247,4.175796,-0.122682,1,1.215065,18.7,ok
20,warmstart,4.144352,9.240705,4.144352,-0.092407,1,1.221628,20.7,ok
21,warmstart,4.213403,13.017871,4.213403,-0.130179,1,1.221628,21.6,ok
22,warmstart,4.050721,27.475175,4.050721,-0.274752,1,1.221628,18.9,ok
23,warmstart,4.231573,16.052955,4.231573,-0.160530,1,1.221628,21.8,ok
24,warmstart,4.214633,11.760888,4.214633,-0.117609,1,1.222015,18.7,ok
25,warmstart,4.178328,11.910995,4.178328,-0.119110,1,1.222015,19.6,ok
26,warmstart,4.144426,13.994755,4.144426,-0.139948,1,1.222015,22.6,ok
27,warmstart,4.105933,11.977682,4.105933,-0.119777,1,1.222015,21.5,ok
28,warmstart,3.954336,15.770901,3.954336,-0.157709,1,1.222015,20.9,ok
29,warmstart,4.272836,10.651096,4.272836,-0.106511,1,1.225279,21.8,ok
30,warmstart,4.194368,11.665649,4.194368,-0.116656,1,1.225279,20.7,ok
31,warmstart,4.162330,10.728167,4.162330,-0.107282,1,1.225279,18.8,ok
32,warmstart,4.247431,11.869232,4.247431,-0.118692,1,1.225279,21.6,ok
33,warmstart,4.283407,13.683488,4.283407,-0.136835,1,1.230410,20.8,ok
34,warmstart,4.319599,8.839376,4.319599,-0.088394,1,1.261349,23.1,ok
35,warmstart,4.193347,13.107510,4.193347,-0.131075,1,1.261349,20.6,ok
36,warmstart,4.257858,13.881209,4.257858,-0.138812,1,1.261349,19.7,ok
37,warmstart,4.136554,18.711806,4.136554,-0.187118,1,1.261349,20.9,ok
38,warmstart,4.151557,17.099517,4.151557,-0.170995,1,1.261349,19.5,ok
39,warmstart,4.268230,13.782086,4.268230,-0.137821,1,1.261349,19.9,ok
40,warmstart,4.243736,14.190680,4.243736,-0.141907,1,1.261349,20.8,ok
41,warmstart,4.287223,9.753976,4.287223,-0.097540,1,1.261349,19.6,ok
42,warmstart,4.162011,24.910596,4.162011,-0.249106,1,1.261349,20.7,ok
43,warmstart,4.334905,7.833804,4.334905,-0.078338,1,1.293434,23.4,ok
44,warmstart,4.343503,7.440926,4.343503,-0.074409,1,1.307488,20.8,ok
45,warmstart,4.022446,19.744836,4.022446,-0.197448,1,1.307488,20.0,ok
46,warmstart,4.292783,5.187636,4.292783,-0.051876,1,1.360126,21.7,ok
47,warmstart,4.224355,16.003181,4.224355,-0.160032,1,1.360126,19.8,ok
48,warmstart,3.665404,29.704524,3.665404,-0.297045,1,1.360126,20.8,ok
49,warmstart,4.019313,16.119927,4.019313,-0.161199,1,1.360126,19.7,ok
50,warmstart,3.651085,28.613979,3.651085,-0.286140,1,1.360126,21.6,ok
51,warmstart,3.200002,40.183511,3.200002,-0.401835,1,1.360126,21.9,ok
52,warmstart,4.166191,6.595471,4.166191,-0.065955,1,1.360126,19.7,ok
53,warmstart,3.983930,24.116677,3.983930,-0.241167,1,1.360126,20.7,ok
54,warmstart,2.679339,28.488438,2.679339,-0.284884,1,1.360126,22.8,ok
55,warmstart,4.172913,18.249504,4.172913,-0.182495,1,1.360126,18.9,ok
56,warmstart,4.304426,6.562683,4.304426,-0.065627,1,1.360229,21.3,ok
57,warmstart,3.945942,31.544019,3.945942,-0.315440,1,1.360229,21.7,ok
58,warmstart,3.876886,27.659247,3.876886,-0.276592,1,1.360229,19.9,ok
59,warmstart,4.331369,10.122373,4.331369,-0.101224,1,1.360229,20.6,ok
60,bo,4.171215,15.913035,4.171215,-0.159130,1,1.360229,18.7,ok
61,bo,4.093955,16.683922,4.093955,-0.166839,1,1.360229,19.6,ok
62,bo,4.048365,13.596327,4.048365,-0.135963,1,1.360229,18.8,ok
63,bo,4.176138,18.093607,4.176138,-0.180936,1,1.360229,19.2,ok
64,bo,4.130272,17.219383,4.130272,-0.172194,1,1.360229,18.7,ok
65,bo,4.088510,9.142965,4.088510,-0.091430,1,1.360229,20.7,ok
66,bo,3.668754,9.350508,3.668754,-0.093505,1,1.360229,18.8,ok
67,bo,3.825480,20.025895,3.825480,-0.200259,1,1.360229,18.8,ok
68,bo,3.838271,19.499770,3.838271,-0.194998,1,1.360229,19.1,ok
