idx,family,T3mm,R3mm,Tconv,Rconv,mesh
0,OneLambda,4.2776,2.9378,4.1953,3.6345,0.5
1,OneLambda,4.4134,3.3679,4.3599,4.1847,0.5
2,OneLambda,4.4383,3.8446,4.3717,4.8030,0.5
3,OneLambda,4.4595,5.2511,4.3968,5.9386,0.5
4,OneLambda,4.4741,9.9241,4.3998,9.8911,0.5
5,OneLambda,4.4873,12.0266,4.3931,11.0152,0.5
6,OneLambda,4.5006,16.3308,4.4262,14.5298,0.5
7,OneLambda,4.5172,21.8118,4.3923,21.2227,0.5
8,SixLambdas,4.4200,2.7304,4.3736,3.1956,0.5
9,SixLambdas,4.4276,3.0484,4.4099,3.6068,0.5
10,SixLambdas,4.4669,4.1332,4.4259,5.1442,0.5
11,SixLambdas,4.4832,4.4983,4.4440,4.8426,0.5
12,SixLambdas,4.4918,8.6432,4.3956,8.2606,0.5
13,SixLambdas,4.5049,9.4234,4.4216,7.9989,0.5
14,SixLambdas,4.5385,14.2974,4.4524,13.5686,0.5
15,SixLambdas,4.5573,17.5552,4.4499,16.7776,0.5
16,ThreeBrokenLines,4.1883,3.2447,4.1320,3.5175,0.5
17,ThreeBrokenLines,4.2387,3.2455,4.1616,3.5506,0.5
18,ThreeBrokenLines,4.4201,3.2696,4.3629,4.0330,0.5
19,ThreeBrokenLines,4.4439,3.4207,4.4108,4.2305,0.5
20,ThreeBrokenLines,4.4813,3.5055,4.4220,4.5578,0.5
21,ThreeBrokenLines,4.5108,5.9509,4.4405,6.1169,0.5
22,ThreeBrokenLines,4.5110,6.1638,4.4197,6.2730,0.5
23,ThreeBrokenLines,4.5165,21.1278,4.4569,20.8714,0.5
