idx,short,T_mean_3mm,T_ripple_3mm,T_mean_conv,T_ripple_conv,on_conv_front,status
0,OneLambda,4.3569,4.9799,4.3482,6.1175,0,ok
1,OneLambda,4.4009,5.5877,4.3318,6.1322,0,ok
2,OneLambda,4.3974,6.5602,4.2978,6.9067,0,ok
3,OneLambda,4.4376,7.9693,4.3338,7.7156,0,ok
4,OneLambda,4.3875,5.0968,4.2898,6.4858,0,ok
5,OneLambda,4.4071,6.6902,4.3902,5.8624,0,ok
6,OneLambda,4.3757,5.2930,4.3755,4.9944,0,ok
7,OneLambda,4.3390,3.7497,4.3273,4.8874,0,ok
8,OneLambda,4.3595,4.6591,4.4015,4.5891,0,ok
9,OneLambda,4.4840,13.3032,4.3779,12.1365,0,ok
10,OneLambda,4.3697,4.9350,4.4026,4.7723,0,ok
11,OneLambda,4.3851,3.7599,4.3674,4.5282,0,ok
12,OneLambda,4.4476,17.1788,4.4570,17.2234,0,ok
13,OneLambda,4.4329,8.9410,4.4250,7.6894,0,ok
14,OneLambda,4.4360,14.9118,4.4142,15.3464,0,ok
15,OneLambda,4.4641,8.8432,4.3978,8.3191,0,ok
16,OneLambda,4.4545,11.3625,4.4430,10.4262,0,ok
17,OneLambda,4.3800,5.0265,4.3243,4.6169,0,ok
18,OneLambda,4.3540,4.7055,4.3540,5.4790,0,ok
19,OneLambda,4.4019,6.0956,4.4032,5.3956,0,ok
20,OneLambda,4.4800,11.5238,4.3835,10.3423,0,ok
21,OneLambda,4.4630,11.6751,4.3542,11.0593,0,ok
22,OneLambda,4.3893,4.5693,4.2645,5.2741,0,ok
23,OneLambda,4.4083,6.0883,4.4205,5.0425,0,ok
24,OneLambda,4.4295,7.1468,4.4203,5.7273,0,ok
25,OneLambda,4.4250,12.8277,4.4051,11.8725,0,ok
26,OneLambda,4.4161,9.8614,4.4044,10.7705,0,ok
27,OneLambda,4.4832,19.1129,4.4460,19.2648,0,ok
28,OneLambda,4.4569,17.0672,4.4794,17.5342,0,ok
29,OneLambda,4.3955,4.2294,4.3320,4.8336,0,ok
30,OneLambda,4.4088,6.6431,4.4125,6.1746,0,ok
31,OneLambda,4.3931,3.4825,4.3271,4.3740,0,ok
32,OneLambda,4.4526,9.7678,4.3748,9.3384,0,ok
33,OneLambda,4.4310,9.4828,4.3698,8.5978,0,ok
34,OneLambda,4.4257,9.4702,4.3653,8.2750,0,ok
35,OneLambda,4.3829,4.3981,4.3265,5.4830,0,ok
36,OneLambda,4.4596,16.6771,4.3355,16.9944,0,ok
37,OneLambda,4.4173,6.4696,4.3918,5.4596,0,ok
38,OneLambda,4.3900,5.8750,4.3906,4.5243,0,ok
39,OneLambda,4.3920,3.2030,4.3338,4.0183,0,ok
40,OneLambda,4.3943,5.0235,4.4012,4.0837,0,ok
41,OneLambda,4.3455,3.6889,4.2871,4.3073,0,ok
42,OneLambda,4.3674,4.3813,4.4009,5.0701,0,ok
43,OneLambda,4.3717,5.1863,4.3841,4.1070,0,ok
44,OneLambda,4.4420,13.8521,4.3559,13.8066,0,ok
45,OneLambda,4.4031,4.9721,4.4065,3.8019,0,ok
46,OneLambda,4.4846,12.6516,4.3712,11.4126,0,ok
47,SixLambdas,4.4365,17.1011,4.3237,17.6449,0,ok
48,SixLambdas,4.4457,8.4176,4.3567,8.5856,0,ok
49,SixLambdas,4.4391,8.9832,4.3892,8.7985,0,ok
50,SixLambdas,4.4704,6.5328,4.3673,7.0847,0,ok
51,SixLambdas,4.4511,8.4843,4.3887,8.6693,0,ok
52,SixLambdas,4.4401,8.1088,4.3846,7.6769,0,ok
53,SixLambdas,4.4325,8.6656,4.3934,8.0053,0,ok
54,SixLambdas,4.4438,5.1706,4.4352,3.8475,1,ok
55,SixLambdas,4.5170,18.7678,4.4260,18.0654,0,ok
56,SixLambdas,4.4888,12.1540,4.3670,13.4133,0,ok
57,SixLambdas,4.4686,19.0970,4.3893,18.7759,0,ok
58,SixLambdas,4.4866,11.9304,4.3991,11.5721,0,ok
59,SixLambdas,4.4893,10.0962,4.3829,10.3421,0,ok
60,SixLambdas,4.4353,3.1206,4.3819,3.4125,0,ok
61,SixLambdas,4.4756,8.4640,4.3866,8.0418,0,ok
62,SixLambdas,4.4577,10.9643,4.3897,10.3774,0,ok
63,SixLambdas,4.4635,9.1529,4.4372,8.0819,0,ok
64,SixLambdas,4.4681,12.5428,4.4068,12.3410,0,ok
65,SixLambdas,4.4338,6.6012,4.4150,5.1388,0,ok
66,SixLambdas,4.4932,11.7059,4.3961,11.4292,0,ok
67,SixLambdas,4.4791,11.6753,4.4040,11.4171,0,ok
68,SixLambdas,4.5414,16.0135,4.4167,14.5786,0,ok
69,SixLambdas,4.4738,8.8995,4.3822,8.3024,0,ok
70,SixLambdas,4.4225,9.4435,4.3825,9.3499,0,ok
71,SixLambdas,4.3963,5.0815,4.2743,5.8901,0,ok
72,SixLambdas,4.4156,4.3600,4.3729,4.5521,0,ok
73,SixLambdas,4.4276,3.0484,4.3499,4.3649,0,ok
74,SixLambdas,4.4202,3.0000,4.3648,3.8218,0,ok
75,SixLambdas,4.3983,3.4110,4.3434,4.6167,0,ok
76,SixLambdas,4.4388,6.5077,4.4160,5.5733,0,ok
77,SixLambdas,4.4621,4.1608,4.3929,3.7364,0,ok
78,SixLambdas,4.4381,13.4184,4.4278,13.5537,0,ok
79,SixLambdas,4.4878,10.1876,4.4057,8.8664,0,ok
80,SixLambdas,4.4994,15.4572,4.3443,15.6513,0,ok
81,SixLambdas,4.4775,15.2574,4.4917,14.8724,1,ok
82,SixLambdas,4.4900,10.0440,4.3994,9.1711,0,ok
83,SixLambdas,4.4649,9.5440,4.3991,8.7673,0,ok
84,SixLambdas,4.4669,4.1332,4.4099,5.3516,0,ok
85,SixLambdas,4.4602,6.8122,4.4111,6.3225,0,ok
86,SixLambdas,4.4275,7.1333,4.3209,8.0432,0,ok
87,SixLambdas,4.4200,2.7304,4.3493,3.8385,0,ok
88,SixLambdas,4.4490,6.1518,4.3722,6.0190,0,ok
89,SixLambdas,4.4571,3.1570,4.3814,3.6166,0,ok
90,SixLambdas,4.4979,17.6356,4.4191,16.8740,0,ok
91,SixLambdas,4.4859,10.6606,4.4126,8.5188,0,ok
92,SixLambdas,4.4733,8.1178,4.3969,6.3476,0,ok
93,SixLambdas,4.4444,7.0819,4.3838,6.9640,0,ok
94,SixLambdas,4.3866,5.8660,4.3003,6.5970,0,ok
95,SixLambdas,4.5498,16.6964,4.4238,15.8068,0,ok
96,SixLambdas,4.4314,11.4975,4.3636,11.7809,0,ok
97,SixLambdas,4.4396,11.8249,4.3779,12.0786,0,ok
98,SixLambdas,4.3650,4.7403,4.2539,4.9004,0,ok
99,SixLambdas,4.5337,13.3136,4.4661,13.2152,1,ok
100,SixLambdas,4.4551,3.7744,4.4147,4.6991,0,ok
101,SixLambdas,4.4562,7.8753,4.3783,7.1600,0,ok
102,SixLambdas,4.4557,10.2649,4.3429,11.0658,0,ok
103,SixLambdas,4.4098,5.3374,4.4052,4.8775,0,ok
104,SixLambdas,4.4254,11.2489,4.4173,10.1730,0,ok
105,SixLambdas,4.4946,13.0560,4.4198,12.1795,0,ok
106,SixLambdas,4.4179,8.8927,4.3652,8.4261,0,ok
107,SixLambdas,4.5385,14.2974,4.4209,13.6235,0,ok
108,SixLambdas,4.4747,14.5512,4.3819,13.9273,0,ok
109,SixLambdas,4.4658,6.3077,4.3835,6.4293,0,ok
110,SixLambdas,4.5270,12.6184,4.4108,11.9373,0,ok
111,SixLambdas,4.4918,8.6432,4.3789,8.5215,0,ok
112,SixLambdas,4.5534,18.1585,4.4303,17.0225,0,ok
113,SixLambdas,4.4207,4.8346,4.3444,5.1209,0,ok
114,SixLambdas,4.4468,4.3733,4.3895,4.8958,0,ok
115,SixLambdas,4.4184,3.6014,4.3907,3.5367,0,ok
116,SixLambdas,4.4266,7.2104,4.4441,6.2239,0,ok
117,SixLambdas,4.3627,3.5547,4.3483,4.6899,0,ok
118,SixLambdas,4.3886,3.8660,4.3921,3.6747,0,ok
119,SixLambdas,4.4217,12.7629,4.3723,13.2346,0,ok
120,SixLambdas,4.4541,7.8128,4.3711,6.9522,0,ok
121,SixLambdas,4.4786,9.7363,4.3940,8.8763,0,ok
122,SixLambdas,4.4211,12.7959,4.3809,11.6579,0,ok
123,SixLambdas,4.5027,13.0853,4.3728,12.7515,0,ok
124,SixLambdas,4.4246,5.3497,4.3820,5.9573,0,ok
125,SixLambdas,4.5216,16.1965,4.3876,15.5585,0,ok
126,SixLambdas,4.5296,9.9859,4.4106,9.0715,0,ok
127,SixLambdas,4.5573,17.5552,4.4101,16.8901,0,ok
128,SixLambdas,4.4165,4.0864,4.3792,4.7797,0,ok
129,SixLambdas,4.4237,10.3602,4.3854,10.2446,0,ok
130,SixLambdas,4.4712,6.1734,4.3524,6.2014,0,ok
131,SixLambdas,4.4061,4.1471,4.3636,5.0465,0,ok
132,SixLambdas,4.4115,4.2628,4.4103,2.7984,1,ok
133,SixLambdas,4.3515,3.8430,4.2645,3.9247,0,ok
134,ThreeBrokenLines,4.4690,4.6338,4.4157,4.7479,0,ok
135,ThreeBrokenLines,4.4416,18.2401,4.3125,17.6387,0,ok
136,ThreeBrokenLines,4.3815,3.8127,4.3061,5.0121,0,ok
