method,design,T_FEA,ripple_FEA,W_d,W_q,T_proxy
HacklGenerator_OneLambda,38,3.2386876857740665,37.47007439012087,6051446.615629192,2566033.1240516305,3485413.491577562
HacklGenerator_OneLambda,10,4.413769596995771,20.413200249075572,6025667.528877961,2459942.4063107753,3565725.122567186
HacklGenerator_OneLambda,9,4.431631289275917,25.2311539914522,6019668.927449983,2483034.5084169586,3536634.419033024
HacklGenerator_OneLambda,46,4.1894064251711445,29.06368613490747,5957635.788726652,2504157.8044984993,3453477.984228153
HacklGenerator_OneLambda,16,2.710494909773087,41.38459762597431,6040351.419177804,2584970.176132499,3455381.2430453054
HacklGenerator_OneLambda,43,3.6357736051974303,25.210993360384418,6044724.893664274,2590856.346437211,3453868.547227063
HacklGenerator_OneLambda,27,4.145733552557012,44.24095535193129,6024940.894232273,2479585.282898109,3545355.611334164
HacklGenerator_OneLambda,44,4.318104387132586,33.95631277573032,6044960.061080938,2438087.754823544,3606872.306257394
HacklGenerator_OneLambda,20,4.237511622606726,24.54443442364542,6018193.529588419,2476333.4181929203,3541860.1113954987
HacklGenerator_OneLambda,40,3.8670699987828727,22.360604583810044,6016554.729682401,2534462.3927586437,3482092.336923757
HacklGenerator_OneLambda,6,3.87512302213352,29.981236850829028,6016658.873764238,2485345.457727895,3531313.416036343
HacklGenerator_OneLambda,32,4.069243240210803,46.0118880957376,6024215.554297692,2469598.7105306494,3554616.8437670427
HacklGenerator_OneLambda,29,4.0775482819608735,11.733503981142208,6034267.569121864,2505368.2597487504,3528899.3093731133
HacklGenerator_OneLambda,0,3.454512403150418,29.030813801364612,6056350.230927315,2545229.5846042703,3511120.6463230443
HacklGenerator_OneLambda,47,3.610307282691526,33.290356400980556,5960385.611436931,2536106.1580630257,3424279.4533739057
HacklGenerator_OneLambda,2,4.073469425884397,30.17323903581633,6026535.806101721,2491412.6353561967,3535123.170745524
HacklGenerator_OneLambda,26,3.9841990496749258,35.864380825939605,6040797.739240679,2505085.361725933,3535712.377514746
HacklGenerator_OneLambda,21,4.118993825780879,27.381742650102822,6017878.240913376,2505074.951853634,3512803.2890597424
HacklGenerator_OneLambda,33,4.245457312250855,25.34984846868662,6018205.989464838,2458298.6883033607,3559907.3011614773
HacklGenerator_OneLambda,1,4.0482969824779085,41.54641345640298,6025778.4891819,2479579.103338107,3546199.3858437934
HacklGenerator_SixLambdas,40,3.5315237504054013,34.05393843410936,6045275.0030151475,2541653.419421144,3503621.5835940037
HacklGenerator_SixLambdas,44,4.101402633730398,40.5694591598856,6057582.716416782,2498311.031309417,3559271.685107365
HacklGenerator_SixLambdas,13,3.717943997142705,19.01814069642277,6046624.8374206135,2517110.8445411897,3529513.992879424
HacklGenerator_SixLambdas,4,4.298789938710975,23.740909470384107,6026649.5433196295,2510419.1782963825,3516230.365023247
HacklGenerator_SixLambdas,46,4.321211226681135,29.42029995208049,6026577.127916289,2462153.05578577,3564424.0721305185
HacklGenerator_SixLambdas,48,4.339154021292737,25.107221213639097,6029837.3469535075,2492564.238954545,3537273.1079989625
HacklGenerator_SixLambdas,18,4.428804752912217,11.730666345415882,6023833.038291706,2491724.8838625867,3532108.154429119
HacklGenerator_SixLambdas,0,4.004808010182614,17.59257934330784,6024492.464912387,2531954.6307826005,3492537.834129786
HacklGenerator_SixLambdas,33,3.674222087673471,32.079770693962196,6032751.797263768,2533420.2168067205,3499331.580457047
HacklGenerator_SixLambdas,35,4.436064105087906,21.25555889079938,6028915.494024333,2426674.818675307,3602240.6753490255
HacklGenerator_SixLambdas,10,4.089262617756118,25.0316068360488,6022164.529820776,2547419.7925863722,3474744.7372344034
HacklGenerator_SixLambdas,25,4.044193212558131,17.784661006744727,6052789.510063142,2471514.3616728373,3581275.1483903043
HacklGenerator_SixLambdas,19,4.425468899229089,20.03095715562676,6034582.14143642,2433702.6251986213,3600879.516237799
HacklGenerator_SixLambdas,12,4.412864356416158,12.016508018180357,6022754.714335354,2492367.4141383553,3530387.3001969988
HacklGenerator_SixLambdas,47,4.294802086551587,18.53109383606153,6055317.614488852,2467756.8968632934,3587560.717625559
HacklGenerator_SixLambdas,24,4.070984781654028,24.73485024465923,6050611.7777613485,2478543.7564897956,3572068.021271553
HacklGenerator_SixLambdas,32,3.952863653177958,30.56619737114342,6026186.982616224,2656859.09793263,3369327.884683594
HacklGenerator_SixLambdas,16,4.473819352332966,30.07358431405512,6026312.840079782,2492139.434522657,3534173.4055571244
HacklGenerator_SixLambdas,37,4.445670947291671,28.103279801933777,6023044.021656293,2445320.4093966624,3577723.612259631
HacklGenerator_SixLambdas,20,4.463406435223453,21.407317800851956,6025426.976504343,2464205.811318754,3561221.1651855884
HacklGenerator_3BrokenLines,31,3.6879693124289674,36.28263310099764,6021761.152907748,2471822.4718527915,3549938.6810549563
HacklGenerator_3BrokenLines,13,3.4517618681434015,34.8421600859148,6022692.511114474,2552302.6072716536,3470389.903842821
HacklGenerator_3BrokenLines,29,3.6675806399055992,29.30405797938756,6020104.826825263,2494717.540862726,3525387.285962537
HacklGenerator_3BrokenLines,38,4.103581508295804,29.073936803572785,6020512.718360893,2512665.8312316732,3507846.88712922
HacklGenerator_3BrokenLines,22,3.672488547545247,23.464156575534545,6017743.7871126,2543773.492663738,3473970.2944488623
HacklGenerator_3BrokenLines,2,3.196858117567604,44.65231646576699,5959835.236602876,2546504.8799607325,3413330.356642144
HacklGenerator_3BrokenLines,11,3.479997139269615,17.847443510283618,6019388.802941916,2579152.5378025714,3440236.265139344
HacklGenerator_3BrokenLines,8,4.372142379829813,22.83601892796744,6017011.496980313,2492287.276980138,3524724.2200001753
HacklGenerator_3BrokenLines,44,3.974001850610444,21.519122813754272,5964332.749840613,2519479.838693329,3444852.9111472843
HacklGenerator_3BrokenLines,26,4.013693500565035,18.48737609070575,5958233.055056773,2532881.435530443,3425351.61952633
HacklGenerator_3BrokenLines,14,3.316092425268351,35.37279286972622,6022090.689636696,2511445.8810063596,3510644.8086303365
HacklGenerator_3BrokenLines,16,4.316830122618089,33.26215663802685,6017579.423837526,2458315.730639131,3559263.693198395
HacklGenerator_3BrokenLines,33,4.0846782644971285,25.40210619200069,6018127.859967884,2503407.845187445,3514720.0147804385
HacklGenerator_3BrokenLines,41,3.665610798717456,27.180845206395837,6021243.691667486,2542318.012597088,3478925.679070398
HacklGenerator_3BrokenLines,19,3.817256418306276,22.08830183273916,6023840.42338128,2464900.5976006896,3558939.8257805905
HacklGenerator_3BrokenLines,35,4.205902388820421,13.525932763208647,6022614.369693266,2480919.8372618672,3541694.532431399
HacklGenerator_3BrokenLines,39,3.9342058746158313,28.696007243688893,6023389.107910501,2528035.356852072,3495353.751058429
HacklGenerator_3BrokenLines,4,3.986282448227444,32.572560684690174,6022858.415767064,2519031.9707196257,3503826.4450474386
HacklGenerator_3BrokenLines,10,3.715361972404173,40.81921742734721,6023670.3363669375,2493070.8866589847,3530599.449707953
HacklGenerator_3BrokenLines,37,4.4033071901596825,27.27936207504872,6017701.625446934,2494948.348063301,3522753.2773836334
