step,n_evals,best_T,HV,n_acq_calls,n_uniform_tries
1,54,4.431631,0.064052,1,0
2,58,4.431631,0.064052,1,0
3,62,4.431631,0.080025,1,0
4,66,4.431631,0.080025,1,0
5,70,4.431631,0.080025,1,0
6,74,4.431631,0.080025,1,0
7,78,4.431631,0.080025,1,0
8,82,4.431631,0.080025,1,0
9,86,4.431631,0.080025,1,0
10,90,4.431631,0.080025,1,0
11,94,4.431631,0.085679,1,0
12,98,4.431631,0.085679,1,0
13,102,4.431631,0.085679,1,0
14,106,4.431631,0.085679,1,0
15,110,4.431631,0.085734,1,0
16,114,4.431631,0.085734,1,0
17,118,4.431631,0.085734,1,0
18,122,4.431631,0.086373,1,0
19,126,4.431631,0.086373,1,0
20,130,4.431631,0.086373,1,0
21,134,4.431631,0.087044,1,0
22,138,4.431631,0.087044,1,0
23,142,4.449033,0.088847,1,0
24,146,4.449033,0.088847,1,0
25,150,4.449033,0.088847,1,0
26,154,4.479178,0.090720,1,0
27,158,4.479178,0.090720,1,0
28,162,4.479178,0.090720,1,0
29,166,4.479178,0.090720,1,0
30,170,4.479178,0.090720,1,0
31,174,4.479178,0.091701,1,0
32,178,4.479178,0.105365,1,0
33,182,4.479178,0.105365,1,0
34,186,4.479178,0.105365,1,0
35,190,4.479178,0.105365,1,0
36,194,4.479178,0.105365,1,0
37,198,4.479178,0.105365,1,0
38,202,4.479178,0.105435,1,0
39,206,4.479178,0.105435,1,0
40,210,4.479178,0.105435,1,0
41,214,4.479178,0.105435,1,0
42,218,4.479178,0.105435,1,0
43,222,4.479178,0.105435,1,0
44,226,4.479178,0.105435,1,0
45,230,4.479178,0.105435,1,0
46,234,4.479178,0.105435,1,0
47,238,4.479178,0.105435,1,0
48,242,4.479178,0.105435,1,0
49,246,4.479178,0.105435,1,0
50,250,4.479178,0.105435,1,0
